Number	Orthogroup	REFgene	Alignment
5371	OG0005926	Pa_4_6760	alignments/orthologs5371.fas
4673	OG0005223	Pa_3_11110	alignments/orthologs4673.fas
837	OG0001373	Pa_1_9770	alignments/orthologs0837.fas
3619	OG0004165	Pa_2_14100	alignments/orthologs3619.fas
1411	OG0001948	Pa_1_15880	alignments/orthologs1411.fas
7612	OG0008176	Pa_7_4755	alignments/orthologs7612.fas
91	OG0000626	Pa_1_2020	alignments/orthologs0091.fas
2572	OG0003114	Pa_2_2150	alignments/orthologs2572.fas
1028	OG0001564	Pa_1_11880	alignments/orthologs1028.fas
6889	OG0007451	Pa_6_6130	alignments/orthologs6889.fas
431	OG0000967	Pa_1_5600	alignments/orthologs0431.fas
4274	OG0004823	Pa_3_6770	alignments/orthologs4274.fas
1709	OG0002247	Pa_1_18920	alignments/orthologs1709.fas
6432	OG0006993	Pa_5_8980	alignments/orthologs6432.fas
495	OG0001031	Pa_1_6290	alignments/orthologs0495.fas
3283	OG0003829	Pa_2_10010	alignments/orthologs3283.fas
3964	OG0004512	Pa_3_3490	alignments/orthologs3964.fas
4562	OG0005112	Pa_3_9720	alignments/orthologs4562.fas
380	OG0000916	Pa_1_5010	alignments/orthologs0380.fas
6919	OG0007481	Pa_6_3438	alignments/orthologs6919.fas
750	OG0001286	Pa_1_8850	alignments/orthologs0750.fas
1834	OG0002372	Pa_1_20250	alignments/orthologs1834.fas
971	OG0001507	Pa_1_11250	alignments/orthologs0971.fas
5424	OG0005979	Pa_4_6190	alignments/orthologs5424.fas
269	OG0000805	Pa_1_3820	alignments/orthologs0269.fas
8315	OG0008882	Pa_7_10090	alignments/orthologs8315.fas
391	OG0000927	Pa_1_5190	alignments/orthologs0391.fas
3497	OG0004043	Pa_2_12340	alignments/orthologs3497.fas
7461	OG0008025	Pa_6_9460	alignments/orthologs7461.fas
1959	OG0002499	Pa_1_21800	alignments/orthologs1959.fas
2294	OG0002835	Pa_1_200	alignments/orthologs2294.fas
3508	OG0004054	Pa_2_12460	alignments/orthologs3508.fas
7955	OG0008521	Pa_7_6020	alignments/orthologs7955.fas
628	OG0001164	Pa_1_7620	alignments/orthologs0628.fas
4591	OG0005141	Pa_3_10090	alignments/orthologs4591.fas
