Number	Orthogroup	REFgene	Alignment
1	OG0000534	Pa_1_90	alignments/orthologs0001.fas
2	OG0000535	Pa_1_20	alignments/orthologs0002.fas
3	OG0000536	Pa_1_1050	alignments/orthologs0003.fas
4	OG0000537	Pa_1_1090	alignments/orthologs0004.fas
5	OG0000538	Pa_1_1100	alignments/orthologs0005.fas
6	OG0000539	Pa_1_1110	alignments/orthologs0006.fas
7	OG0000540	Pa_1_1120	alignments/orthologs0007.fas
8	OG0000541	Pa_1_1125	alignments/orthologs0008.fas
9	OG0000542	Pa_1_1130	alignments/orthologs0009.fas
10	OG0000543	Pa_1_1140	alignments/orthologs0010.fas
11	OG0000544	Pa_4_1740	alignments/orthologs0011.fas
12	OG0000545	Pa_1_1160	alignments/orthologs0012.fas
13	OG0000546	Pa_1_1165	alignments/orthologs0013.fas
14	OG0000547	Pa_1_1175	alignments/orthologs0014.fas
15	OG0000549	Pa_1_1190	alignments/orthologs0015.fas
16	OG0000550	Pa_1_1194	alignments/orthologs0016.fas
17	OG0000551	Pa_1_1197	alignments/orthologs0017.fas
18	OG0000552	Pa_1_1200	alignments/orthologs0018.fas
19	OG0000553	Pa_1_1210	alignments/orthologs0019.fas
20	OG0000554	Pa_1_1230	alignments/orthologs0020.fas
21	OG0000555	Pa_1_1240	alignments/orthologs0021.fas
22	OG0000556	Pa_1_1250	alignments/orthologs0022.fas
23	OG0000557	Pa_1_1260	alignments/orthologs0023.fas
24	OG0000558	Pa_1_1270	alignments/orthologs0024.fas
25	OG0000559	Pa_1_1290	alignments/orthologs0025.fas
26	OG0000560	Pa_1_1295	alignments/orthologs0026.fas
27	OG0000561	Pa_1_1300	alignments/orthologs0027.fas
28	OG0000562	Pa_1_1310	alignments/orthologs0028.fas
29	OG0000563	Pa_1_1320	alignments/orthologs0029.fas
30	OG0000564	Pa_1_1330	alignments/orthologs0030.fas
31	OG0000565	Pa_1_1340	alignments/orthologs0031.fas
32	OG0000566	Pa_1_1370	alignments/orthologs0032.fas
33	OG0000567	Pa_1_1380	alignments/orthologs0033.fas
34	OG0000568	Pa_1_1390	alignments/orthologs0034.fas
35	OG0000570	Pa_1_1430	alignments/orthologs0035.fas
36	OG0000571	Pa_1_1440	alignments/orthologs0036.fas
38	OG0000573	Pa_1_1455	alignments/orthologs0038.fas
39	OG0000574	Pa_1_1460	alignments/orthologs0039.fas
40	OG0000575	Pa_1_1470	alignments/orthologs0040.fas
41	OG0000576	Pa_1_1490	alignments/orthologs0041.fas
42	OG0000577	Pa_1_1500	alignments/orthologs0042.fas
43	OG0000578	Pa_1_1510	alignments/orthologs0043.fas
44	OG0000579	Pa_1_1530	alignments/orthologs0044.fas
45	OG0000580	Pa_1_1540	alignments/orthologs0045.fas
46	OG0000581	Pa_1_1550	alignments/orthologs0046.fas
47	OG0000582	Pa_1_1560	alignments/orthologs0047.fas
48	OG0000583	Pa_1_1565	alignments/orthologs0048.fas
49	OG0000584	Pa_1_1570	alignments/orthologs0049.fas
50	OG0000585	Pa_1_1580	alignments/orthologs0050.fas
51	OG0000586	Pa_1_1590	alignments/orthologs0051.fas
52	OG0000587	Pa_1_1600	alignments/orthologs0052.fas
53	OG0000588	Pa_1_1610	alignments/orthologs0053.fas
54	OG0000589	Pa_1_1620	alignments/orthologs0054.fas
55	OG0000590	Pa_1_1630	alignments/orthologs0055.fas
56	OG0000591	Pa_1_1640	alignments/orthologs0056.fas
57	OG0000592	Pa_1_1650	alignments/orthologs0057.fas
58	OG0000593	Pa_1_1660	alignments/orthologs0058.fas
59	OG0000594	Pa_1_1670	alignments/orthologs0059.fas
60	OG0000595	Pa_1_1690	alignments/orthologs0060.fas
61	OG0000596	Pa_1_1710	alignments/orthologs0061.fas
62	OG0000597	Pa_1_1720	alignments/orthologs0062.fas
63	OG0000598	Pa_1_1730	alignments/orthologs0063.fas
64	OG0000599	Pa_1_1740	alignments/orthologs0064.fas
65	OG0000600	Pa_1_1750	alignments/orthologs0065.fas
66	OG0000601	Pa_1_1760	alignments/orthologs0066.fas
67	OG0000602	Pa_1_1770	alignments/orthologs0067.fas
68	OG0000603	Pa_1_1780	alignments/orthologs0068.fas
69	OG0000604	Pa_1_1790	alignments/orthologs0069.fas
70	OG0000605	Pa_1_1810	alignments/orthologs0070.fas
71	OG0000606	Pa_1_1820	alignments/orthologs0071.fas
