Number	Orthogroup	REFgene	Alignment
4955	OG0005509	Pa_4_2960	alignments/orthologs4955.fas
6530	OG0007091	Pa_5_10090	alignments/orthologs6530.fas
8368	OG0008935	Pa_7_10615	alignments/orthologs8368.fas
7949	OG0008515	Pa_7_5935	alignments/orthologs7949.fas
4911	OG0005465	Pa_4_2500	alignments/orthologs4911.fas
4986	OG0005540	Pa_4_9760	alignments/orthologs4986.fas
4719	OG0005269	Pa_4_215	alignments/orthologs4719.fas
7885	OG0008451	Pa_7_5190	alignments/orthologs7885.fas
462	OG0000998	Pa_1_5950	alignments/orthologs0462.fas
6544	OG0007105	Pa_5_11570	alignments/orthologs6544.fas
5535	OG0006091	Pa_4_4860	alignments/orthologs5535.fas
6795	OG0007357	Pa_6_5160	alignments/orthologs6795.fas
1916	OG0002454	Pa_1_21100	alignments/orthologs1916.fas
8216	OG0008782	Pa_7_9030	alignments/orthologs8216.fas
2029	OG0002570	Pa_1_22620	alignments/orthologs2029.fas
7806	OG0008371	Pa_7_2380	alignments/orthologs7806.fas
5521	OG0006077	Pa_4_5010	alignments/orthologs5521.fas
4089	OG0004637	Pa_3_4770	alignments/orthologs4089.fas
4704	OG0005254	Pa_3_10640	alignments/orthologs4704.fas
3441	OG0003987	Pa_2_11760	alignments/orthologs3441.fas
5268	OG0005823	Pa_4_7880	alignments/orthologs5268.fas
7682	OG0008246	Pa_7_3980	alignments/orthologs7682.fas
2866	OG0003411	Pa_2_5490	alignments/orthologs2866.fas
4861	OG0005415	Pa_4_1960	alignments/orthologs4861.fas
8305	OG0008872	Pa_7_9980	alignments/orthologs8305.fas
3073	OG0003619	Pa_2_7660	alignments/orthologs3073.fas
3971	OG0004519	Pa_3_3570	alignments/orthologs3971.fas
5620	OG0006176	Pa_5_2820	alignments/orthologs5620.fas
5636	OG0006192	Pa_5_2610	alignments/orthologs5636.fas
3325	OG0003871	Pa_2_10530	alignments/orthologs3325.fas
5245	OG0005800	Pa_4_8110	alignments/orthologs5245.fas
5249	OG0005804	Pa_4_8067	alignments/orthologs5249.fas
7791	OG0008356	Pa_7_2530	alignments/orthologs7791.fas
2402	OG0002943	Pa_2_400	alignments/orthologs2402.fas
6320	OG0006881	Pa_5_6350	alignments/orthologs6320.fas
647	OG0001183	Pa_1_7800	alignments/orthologs0647.fas
5641	OG0006197	Pa_5_2550	alignments/orthologs5641.fas
6053	OG0006613	Pa_5_5220	alignments/orthologs6053.fas
1977	OG0002518	Pa_1_22060	alignments/orthologs1977.fas
522	OG0001058	Pa_1_6580	alignments/orthologs0522.fas
2861	OG0003406	Pa_2_5440	alignments/orthologs2861.fas
7253	OG0007817	Pa_6_6820	alignments/orthologs7253.fas
5559	OG0006115	Pa_4_4540	alignments/orthologs5559.fas
5211	OG0005765	Pa_4_8480	alignments/orthologs5211.fas
3562	OG0004108	Pa_2_13010	alignments/orthologs3562.fas
5854	OG0006413	Pa_5_13020	alignments/orthologs5854.fas
5874	OG0006433	Pa_5_12800	alignments/orthologs5874.fas
7042	OG0007606	Pa_6_1890	alignments/orthologs7042.fas
5514	OG0006070	Pa_4_5100	alignments/orthologs5514.fas
7399	OG0007963	Pa_6_8720	alignments/orthologs7399.fas
202	OG0000737	Pa_1_3160	alignments/orthologs0202.fas
2721	OG0003263	Pa_2_3730	alignments/orthologs2721.fas
1751	OG0002289	Pa_1_19370	alignments/orthologs1751.fas
1690	OG0002228	Pa_1_18740	alignments/orthologs1690.fas
6604	OG0007165	Pa_5_10500	alignments/orthologs6604.fas
234	OG0000769	Pa_1_3480	alignments/orthologs0234.fas
1758	OG0002296	Pa_1_19440	alignments/orthologs1758.fas
1092	OG0001628	Pa_1_12540	alignments/orthologs1092.fas
5260	OG0005815	Pa_4_7960	alignments/orthologs5260.fas
5344	OG0005899	Pa_4_7080	alignments/orthologs5344.fas
