1 alignments/orthologs0001.fas	OG0000534	Pa_1_90
2 alignments/orthologs0002.fas	OG0000535	Pa_1_20
3 alignments/orthologs0003.fas	OG0000536	Pa_1_1050
4 alignments/orthologs0004.fas	OG0000537	Pa_1_1090
5 alignments/orthologs0005.fas	OG0000538	Pa_1_1100
6 alignments/orthologs0006.fas	OG0000539	Pa_1_1110
7 alignments/orthologs0007.fas	OG0000540	Pa_1_1120
8 alignments/orthologs0008.fas	OG0000541	Pa_1_1125
9 alignments/orthologs0009.fas	OG0000542	Pa_1_1130
10 alignments/orthologs0010.fas	OG0000543	Pa_1_1140
11 alignments/orthologs0011.fas	OG0000544	Pa_4_1740
12 alignments/orthologs0012.fas	OG0000545	Pa_1_1160
13 alignments/orthologs0013.fas	OG0000546	Pa_1_1165
14 alignments/orthologs0014.fas	OG0000547	Pa_1_1175
15 alignments/orthologs0015.fas	OG0000549	Pa_1_1190
16 alignments/orthologs0016.fas	OG0000550	Pa_1_1194
17 alignments/orthologs0017.fas	OG0000551	Pa_1_1197
18 alignments/orthologs0018.fas	OG0000552	Pa_1_1200
19 alignments/orthologs0019.fas	OG0000553	Pa_1_1210
20 alignments/orthologs0020.fas	OG0000554	Pa_1_1230
21 alignments/orthologs0021.fas	OG0000555	Pa_1_1240
22 alignments/orthologs0022.fas	OG0000556	Pa_1_1250
23 alignments/orthologs0023.fas	OG0000557	Pa_1_1260
24 alignments/orthologs0024.fas	OG0000558	Pa_1_1270
25 alignments/orthologs0025.fas	OG0000559	Pa_1_1290
26 alignments/orthologs0026.fas	OG0000560	Pa_1_1295
27 alignments/orthologs0027.fas	OG0000561	Pa_1_1300
28 alignments/orthologs0028.fas	OG0000562	Pa_1_1310
29 alignments/orthologs0029.fas	OG0000563	Pa_1_1320
30 alignments/orthologs0030.fas	OG0000564	Pa_1_1330
31 alignments/orthologs0031.fas	OG0000565	Pa_1_1340
32 alignments/orthologs0032.fas	OG0000566	Pa_1_1370
33 alignments/orthologs0033.fas	OG0000567	Pa_1_1380
34 alignments/orthologs0034.fas	OG0000568	Pa_1_1390
35 alignments/orthologs0035.fas	OG0000570	Pa_1_1430
36 alignments/orthologs0036.fas	OG0000571	Pa_1_1440
37 alignments/orthologs0037.fas	OG0000572	Pa_1_1444
38 alignments/orthologs0038.fas	OG0000573	Pa_1_1455
39 alignments/orthologs0039.fas	OG0000574	Pa_1_1460
40 alignments/orthologs0040.fas	OG0000575	Pa_1_1470
41 alignments/orthologs0041.fas	OG0000576	Pa_1_1490
42 alignments/orthologs0042.fas	OG0000577	Pa_1_1500
43 alignments/orthologs0043.fas	OG0000578	Pa_1_1510
44 alignments/orthologs0044.fas	OG0000579	Pa_1_1530
45 alignments/orthologs0045.fas	OG0000580	Pa_1_1540
46 alignments/orthologs0046.fas	OG0000581	Pa_1_1550
47 alignments/orthologs0047.fas	OG0000582	Pa_1_1560
48 alignments/orthologs0048.fas	OG0000583	Pa_1_1565
49 alignments/orthologs0049.fas	OG0000584	Pa_1_1570
50 alignments/orthologs0050.fas	OG0000585	Pa_1_1580
51 alignments/orthologs0051.fas	OG0000586	Pa_1_1590
52 alignments/orthologs0052.fas	OG0000587	Pa_1_1600
53 alignments/orthologs0053.fas	OG0000588	Pa_1_1610
54 alignments/orthologs0054.fas	OG0000589	Pa_1_1620
55 alignments/orthologs0055.fas	OG0000590	Pa_1_1630
56 alignments/orthologs0056.fas	OG0000591	Pa_1_1640
57 alignments/orthologs0057.fas	OG0000592	Pa_1_1650
58 alignments/orthologs0058.fas	OG0000593	Pa_1_1660
59 alignments/orthologs0059.fas	OG0000594	Pa_1_1670
60 alignments/orthologs0060.fas	OG0000595	Pa_1_1690
61 alignments/orthologs0061.fas	OG0000596	Pa_1_1710
62 alignments/orthologs0062.fas	OG0000597	Pa_1_1720
63 alignments/orthologs0063.fas	OG0000598	Pa_1_1730
64 alignments/orthologs0064.fas	OG0000599	Pa_1_1740
65 alignments/orthologs0065.fas	OG0000600	Pa_1_1750
66 alignments/orthologs0066.fas	OG0000601	Pa_1_1760
67 alignments/orthologs0067.fas	OG0000602	Pa_1_1770
68 alignments/orthologs0068.fas	OG0000603	Pa_1_1780
69 alignments/orthologs0069.fas	OG0000604	Pa_1_1790
70 alignments/orthologs0070.fas	OG0000605	Pa_1_1810
71 alignments/orthologs0071.fas	OG0000606	Pa_1_1820
72 alignments/orthologs0072.fas	OG0000607	Pa_1_1831
73 alignments/orthologs0073.fas	OG0000608	Pa_1_1834
74 alignments/orthologs0074.fas	OG0000609	Pa_1_1838
75 alignments/orthologs0075.fas	OG0000610	Pa_1_1840
76 alignments/orthologs0076.fas	OG0000611	Pa_1_1850
77 alignments/orthologs0077.fas	OG0000612	Pa_1_1860
78 alignments/orthologs0078.fas	OG0000613	Pa_1_1870
79 alignments/orthologs0079.fas	OG0000614	Pa_1_1880
80 alignments/orthologs0080.fas	OG0000615	Pa_1_1890
81 alignments/orthologs0081.fas	OG0000616	Pa_1_1900
82 alignments/orthologs0082.fas	OG0000617	Pa_1_1910
83 alignments/orthologs0083.fas	OG0000618	Pa_1_1920
84 alignments/orthologs0084.fas	OG0000619	Pa_1_1930
85 alignments/orthologs0085.fas	OG0000620	Pa_1_1940
86 alignments/orthologs0086.fas	OG0000621	Pa_1_1950
87 alignments/orthologs0087.fas	OG0000622	Pa_1_1970
88 alignments/orthologs0088.fas	OG0000623	Pa_1_1980
89 alignments/orthologs0089.fas	OG0000624	Pa_1_1990
90 alignments/orthologs0090.fas	OG0000625	Pa_1_2010
91 alignments/orthologs0091.fas	OG0000626	Pa_1_2020
92 alignments/orthologs0092.fas	OG0000627	Pa_1_2040
93 alignments/orthologs0093.fas	OG0000628	Pa_1_2045
94 alignments/orthologs0094.fas	OG0000629	Pa_1_2050
95 alignments/orthologs0095.fas	OG0000630	Pa_1_2060
96 alignments/orthologs0096.fas	OG0000631	Pa_1_2070
97 alignments/orthologs0097.fas	OG0000632	Pa_1_2080
98 alignments/orthologs0098.fas	OG0000633	Pa_1_2090
